appliances,segments,qubits,seed,truth_exact_bit_accuracy,qaoa_exact_bit_accuracy,sample_hit_optimum,optimal_probability,expected_cost,exact_cost
2,3,6,0,1.0,1.0,True,0.06404048599582192,208803.0804139928,424.077826139803
2,3,6,1,1.0,1.0,True,0.08096625558758981,356213.62694734946,4274.077938942695
2,3,6,2,1.0,1.0,True,0.07668561141439997,218361.18882573585,3446.839921500243
2,3,6,3,1.0,1.0,True,0.12092566419391725,285270.03079678863,4568.328839336289
3,3,9,0,1.0,1.0,True,0.04924402443507241,2788773.7246720567,1.5407149813989367
3,3,9,1,1.0,1.0,True,0.007469728492090461,1665169.5697000085,4397.048726047971
3,3,9,2,1.0,1.0,True,0.018067997404554746,5360559.250272723,39293.23197399825
3,3,9,3,1.0,1.0,True,0.0060738715856502095,2698254.3182987496,38815.72014835756
3,4,12,0,1.0,1.0,True,0.002804108888912626,4225495.883342742,25998.122059859685
3,4,12,1,1.0,1.0,True,0.0011449140452803321,4698500.110542893,8923.469577355077
3,4,12,2,1.0,1.0,True,0.0028815023636666643,5402088.128503437,39309.068870799616
3,4,12,3,1.0,1.0,True,0.0010891547180469923,7551050.314293397,38967.01694393903
